Geneid,SRR15679346,SRR15679347,SRR15679348,SRR15679349
ENSMUSG00000104478,0,0,0,0
ENSMUSG00000104385,0,0,0,0
ENSMUSG00000101231,0,0,0,0
ENSMUSG00000102135,2,0,0,0
ENSMUSG00000103282,0,0,0,0
ENSMUSG00000101097,0,0,0,0
ENSMUSG00000100764,2,8,19,10
ENSMUSG00000102534,0,0,0,0
ENSMUSG00000100831,0,0,0,0
ENSMUSG00000100884,0,0,0,0
ENSMUSG00000100635,0,0,0,0
ENSMUSG00000102213,0,0,0,0
ENSMUSG00000100480,7,2,5,7
ENSMUSG00000089037,0,0,0,0
ENSMUSG00000103629,0,0,0,0
ENSMUSG00002076531,0,0,0,0
ENSMUSG00000100025,0,0,0,0
ENSMUSG00000051285,1339,1024,1538,1273
ENSMUSG00000098201,0,0,0,0
ENSMUSG00000103509,173,131,117,135
ENSMUSG00000048538,2,3,22,26
ENSMUSG00000103709,0,0,0,0
ENSMUSG00000077244,0,0,0,0
ENSMUSG00000102768,0,0,0,0
ENSMUSG00000097797,8,1,7,10
ENSMUSG00000103498,0,0,0,0
ENSMUSG00000103067,0,0,0,0
ENSMUSG00000102320,0,0,0,0
ENSMUSG00000104226,0,0,0,0
ENSMUSG00000103903,0,0,0,0
ENSMUSG00000103557,0,0,0,0
ENSMUSG00000026312,44,26,105,82
ENSMUSG00000100290,0,0,0,0
ENSMUSG00000100758,0,0,0,0
ENSMUSG00000099926,0,0,0,0
ENSMUSG00000039748,6,6,7,16
ENSMUSG00000118715,0,0,0,0
ENSMUSG00000104158,0,0,2,0
ENSMUSG00000103540,0,0,0,0
ENSMUSG00000057363,319,235,362,319
ENSMUSG00000047216,0,6,2,0
ENSMUSG00000102788,0,0,0,0
ENSMUSG00000102160,0,0,0,0
ENSMUSG00000101253,0,0,0,0
ENSMUSG00000101846,0,0,0,0
ENSMUSG00000090243,0,0,0,0
ENSMUSG00000100701,0,0,2,1
ENSMUSG00000100555,0,10,4,6
ENSMUSG00000101395,0,0,0,0
ENSMUSG00000102728,0,0,0,0
ENSMUSG00000088848,0,0,0,0
ENSMUSG00002075225,0,0,0,0
ENSMUSG00000038702,333,233,333,331
ENSMUSG00000101875,0,0,0,0
ENSMUSG00000099732,0,0,0,0
ENSMUSG00000101220,0,0,0,0
ENSMUSG00000100020,0,0,0,0
ENSMUSG00000101054,0,2,2,0
ENSMUSG00000088691,0,0,0,0
ENSMUSG00000099884,0,0,0,0
ENSMUSG00000100304,0,0,0,0
ENSMUSG00000101453,0,0,0,0
ENSMUSG00000102105,0,0,0,0
ENSMUSG00000099943,0,0,0,0
ENSMUSG00002075119,0,0,0,0
ENSMUSG00000097648,0,0,0,0
ENSMUSG00000101687,0,0,0,0
ENSMUSG00000100515,0,0,2,2
ENSMUSG00000055214,2,0,12,10
ENSMUSG00000078184,1,1,0,6
ENSMUSG00000104363,0,0,0,0
ENSMUSG00000103277,0,0,0,0
ENSMUSG00000104157,0,0,2,4
ENSMUSG00000102446,0,0,0,0
ENSMUSG00000104248,0,0,0,0
ENSMUSG00000104021,0,0,0,0
ENSMUSG00000103471,0,0,0,0
ENSMUSG00000087875,0,0,0,0
ENSMUSG00000033007,767,394,987,563
ENSMUSG00000070695,95,38,362,220
ENSMUSG00000025909,28,20,40,53
ENSMUSG00002076179,0,0,0,0
ENSMUSG00000102033,0,0,0,0
ENSMUSG00000102647,0,0,0,0
ENSMUSG00000086235,0,0,0,2
ENSMUSG00000102253,0,0,0,0
ENSMUSG00002074990,0,0,0,0
ENSMUSG00000094429,0,0,0,0
ENSMUSG00000103884,0,0,0,0
ENSMUSG00000084353,9,4,8,6
ENSMUSG00000103933,2,0,0,0
ENSMUSG00002075967,0,0,0,0
ENSMUSG00000086195,0,0,0,0
ENSMUSG00000104504,0,0,0,0
ENSMUSG00000066693,0,0,0,0
ENSMUSG00000102316,0,0,0,2
ENSMUSG00000103819,0,0,0,0
ENSMUSG00000102871,0,0,0,0
ENSMUSG00000101571,0,0,0,0
ENSMUSG00000104428,0,0,0,0
ENSMUSG00000102272,0,0,0,0
ENSMUSG00000065625,0,0,0,0
ENSMUSG00000103411,0,0,0,0
ENSMUSG00000061024,555,549,269,246
ENSMUSG00000102030,2,0,0,0
ENSMUSG00000025911,72,40,49,41
ENSMUSG00000081441,6,1,0,2
ENSMUSG00000067879,351,131,338,173
ENSMUSG00000099827,0,0,0,0
ENSMUSG00000057335,1960,1190,2418,2021
ENSMUSG00000103634,6,3,2,0
ENSMUSG00000104154,51,30,39,64
ENSMUSG00000103435,11,1,0,0
ENSMUSG00000065573,0,0,0,0
ENSMUSG00002076271,0,0,0,0
ENSMUSG00000100551,2,1,0,2
ENSMUSG00000100357,0,0,0,0
ENSMUSG00000025912,446,198,363,221
ENSMUSG00000045210,2776,2111,2020,2337
ENSMUSG00000041763,1809,1403,1553,1549
ENSMUSG00000026504,846,682,581,466
ENSMUSG00000103367,0,4,0,2
ENSMUSG00000103584,0,0,0,0
ENSMUSG00002076339,2,0,0,0
ENSMUSG00000102475,2,0,0,0
ENSMUSG00000047343,8,5,8,4
ENSMUSG00000102211,2,4,10,2
ENSMUSG00000087082,4,0,0,6
ENSMUSG00000090106,0,0,0,0
ENSMUSG00000103251,8,6,8,4
ENSMUSG00000091844,28,20,20,25
ENSMUSG00000026483,16,2,134,30
ENSMUSG00000082528,0,0,0,0
ENSMUSG00000082012,0,0,0,0
ENSMUSG00000099996,0,0,0,0
ENSMUSG00000101763,0,0,0,0
ENSMUSG00000100827,0,0,0,0
ENSMUSG00000100553,0,0,0,3
ENSMUSG00000098611,0,0,0,0
ENSMUSG00000100534,0,0,0,0
ENSMUSG00000102904,0,0,0,0
ENSMUSG00002076350,0,0,0,0
ENSMUSG00000019699,3664,2652,3320,3222
ENSMUSG00000104391,24,12,6,16
ENSMUSG00000102133,4,2,0,0
ENSMUSG00000102749,2,2,0,0
ENSMUSG00000103163,0,0,2,2
ENSMUSG00000103646,4,2,2,6
ENSMUSG00000102427,0,8,5,2
ENSMUSG00000103633,0,0,0,2
ENSMUSG00000097892,145,95,78,86
ENSMUSG00000063659,7414,5045,4609,4206
ENSMUSG00000102432,4,0,0,6
ENSMUSG00000103043,0,0,2,0
ENSMUSG00000102885,0,0,0,0
ENSMUSG00000026049,341,253,217,251
ENSMUSG00000103767,0,0,2,0
ENSMUSG00000043019,3848,2791,2948,3119
ENSMUSG00000101104,0,0,0,0
ENSMUSG00000015962,0,0,0,0
ENSMUSG00000032666,1787,1086,1742,1623
ENSMUSG00000084557,0,0,0,0
ENSMUSG00000100685,30,5,0,0
ENSMUSG00000102090,2,0,0,0
ENSMUSG00000103744,0,0,0,0
ENSMUSG00000015961,795,607,707,583
ENSMUSG00000089657,0,0,0,0
ENSMUSG00000102483,1,2,0,0
ENSMUSG00000014980,417,399,364,333
ENSMUSG00000026235,362,223,896,508
ENSMUSG00000099141,0,0,0,0
ENSMUSG00000032649,132,87,181,115
ENSMUSG00000101849,0,0,2,0
ENSMUSG00000101506,0,0,0,0
ENSMUSG00000065215,0,0,0,0
ENSMUSG00000102052,0,0,0,0
ENSMUSG00000026047,383,348,470,320
ENSMUSG00000080878,2,0,0,0
ENSMUSG00000091476,132,101,135,250
ENSMUSG00000104097,6,4,0,0
ENSMUSG00000119789,0,0,0,0
ENSMUSG00000102493,2,0,2,3
ENSMUSG00000004872,0,0,0,0
ENSMUSG00000118426,0,0,0,0
ENSMUSG00000041684,743,592,857,756
ENSMUSG00000032908,216,120,205,167
ENSMUSG00000099561,0,0,0,0
ENSMUSG00000102945,0,0,0,0
ENSMUSG00000026502,3572,3013,2474,2583
ENSMUSG00000103958,0,0,2,4
ENSMUSG00000070489,0,2,0,0
ENSMUSG00000104126,114,74,97,109
ENSMUSG00000026500,1180,1009,821,704
ENSMUSG00000026048,1311,1136,1167,1059
ENSMUSG00000046828,0,0,0,0
ENSMUSG00000089703,0,0,0,0
ENSMUSG00000100966,0,0,0,0
ENSMUSG00000100769,0,0,0,0
ENSMUSG00000101567,2,2,4,0
ENSMUSG00000026245,1757,1520,1417,1214
ENSMUSG00000101798,2,0,0,2
ENSMUSG00000104018,58,46,30,48
ENSMUSG00000090486,14,2,0,0
ENSMUSG00000026482,908,769,672,600
ENSMUSG00000086145,0,0,2,0
ENSMUSG00000080950,6,36,12,17
ENSMUSG00000099868,2,0,0,0
ENSMUSG00000055547,0,8,8,6
ENSMUSG00000012187,58,70,41,38
ENSMUSG00000008475,1712,1531,1595,1223
ENSMUSG00000099364,8,0,10,12
ENSMUSG00000100562,5,6,1,2
ENSMUSG00000056870,2941,2499,1847,2136
ENSMUSG00000102319,80,77,23,42
ENSMUSG00000089877,11,10,24,4
ENSMUSG00000101701,0,3,0,0
ENSMUSG00000103071,70,51,13,30
ENSMUSG00000100434,0,0,0,0
ENSMUSG00000100013,0,0,0,0
ENSMUSG00000101251,0,0,0,0
ENSMUSG00000101937,0,0,0,0
ENSMUSG00000039630,33923,26882,21658,25042
ENSMUSG00000104279,54,44,58,47
ENSMUSG00002075531,0,0,0,0
ENSMUSG00000064954,0,0,0,0
ENSMUSG00000026495,269,220,202,254
ENSMUSG00000032883,4789,4145,5339,3689
ENSMUSG00000026480,28,71,26,10
ENSMUSG00000026494,144,140,94,92
ENSMUSG00000064967,0,0,0,0
ENSMUSG00000102922,0,0,0,0
ENSMUSG00000025915,98,58,109,80
ENSMUSG00000089713,6,0,0,0
ENSMUSG00000079470,1076,646,860,459
ENSMUSG00000099377,2,4,4,2
ENSMUSG00000099706,0,0,0,0
ENSMUSG00000047330,4,0,25,6
ENSMUSG00000101324,0,0,0,0
ENSMUSG00000072978,8,2,4,6
ENSMUSG00000046334,5,9,4,7
ENSMUSG00002075801,0,0,0,0
ENSMUSG00000050711,1258,960,2734,2183
ENSMUSG00000099562,0,0,0,0
ENSMUSG00000077782,0,0,0,0
ENSMUSG00000055067,342,233,323,308
ENSMUSG00000054702,18,8,12,11
ENSMUSG00000096474,13,6,7,3
ENSMUSG00000102235,0,0,0,0
ENSMUSG00000026492,533,476,417,404
ENSMUSG00000082395,0,0,0,0
ENSMUSG00000038949,3241,2633,2397,2239
ENSMUSG00000026043,18,11,80,65
ENSMUSG00000046101,9,8,12,20
ENSMUSG00002074901,0,0,0,0
ENSMUSG00000093178,0,0,0,0
ENSMUSG00000099032,179,126,116,96
ENSMUSG00000104025,6,5,0,0
ENSMUSG00000038936,1245,1181,1169,1020
ENSMUSG00000042772,5500,3928,3479,3653
ENSMUSG00000100394,8,3,6,12
ENSMUSG00000103840,0,0,0,0
ENSMUSG00000087236,5,0,2,0
ENSMUSG00000100702,0,0,0,0
ENSMUSG00000026042,96,78,108,45
ENSMUSG00000104476,0,0,0,0
ENSMUSG00000073643,2693,2212,924,1066
ENSMUSG00000104497,0,0,0,0
ENSMUSG00000025916,405,528,376,471
ENSMUSG00000087199,2,2,0,2
ENSMUSG00000026248,854,754,556,530
ENSMUSG00000119658,0,0,1,2
ENSMUSG00000026249,153,197,317,151
ENSMUSG00000042751,251,138,216,198
ENSMUSG00000067106,63,61,29,28
ENSMUSG00000099969,0,0,0,0
ENSMUSG00000100397,4,10,10,9
ENSMUSG00000099753,0,0,0,0
ENSMUSG00000118883,0,0,0,0
ENSMUSG00000102518,0,0,0,0
ENSMUSG00000099552,0,0,0,0
ENSMUSG00000043230,4,2,10,16
ENSMUSG00000103404,0,0,0,0
ENSMUSG00000026491,4341,3383,3053,3608
ENSMUSG00000073486,24,16,0,2
ENSMUSG00000025917,3185,2757,2520,2058
ENSMUSG00000104418,4,0,2,0
ENSMUSG00000026479,12,10,20,13
ENSMUSG00000004364,9528,7558,8436,8876
ENSMUSG00000103076,140,152,23,51
ENSMUSG00000103525,8,3,0,6
ENSMUSG00000101722,9,6,4,6
ENSMUSG00000090637,12,11,6,5
ENSMUSG00000026478,1271,873,1225,870
ENSMUSG00000110100,0,0,0,0
ENSMUSG00000103818,6,2,2,2
ENSMUSG00000079138,0,0,2,0
ENSMUSG00000042708,2,2,4,10
ENSMUSG00000064435,0,0,0,0
ENSMUSG00000103543,2,0,0,0
ENSMUSG00000099432,0,0,0,0
ENSMUSG00000041144,1029,814,1391,1693
ENSMUSG00000119743,0,0,0,0
ENSMUSG00000042699,9691,6715,9459,8176
ENSMUSG00000101262,1,0,2,0
ENSMUSG00000042684,266,313,242,185
ENSMUSG00000099858,5,9,21,14
ENSMUSG00000101337,7,19,44,45
ENSMUSG00000025986,813,510,1588,906
ENSMUSG00000100213,71,72,77,99
ENSMUSG00000103129,0,0,0,0
ENSMUSG00000100160,0,0,0,0
ENSMUSG00000101921,0,0,0,0
ENSMUSG00000101447,0,0,0,0
ENSMUSG00000081185,6,6,2,8
ENSMUSG00000103246,0,0,0,0
ENSMUSG00000098876,0,0,0,0
ENSMUSG00000100530,0,0,0,0
ENSMUSG00000104067,0,0,0,0
ENSMUSG00000100033,1,0,1,4
ENSMUSG00002075213,0,0,0,0
ENSMUSG00002076633,0,0,0,0
ENSMUSG00000101996,0,0,0,0
ENSMUSG00000096973,0,0,0,0
ENSMUSG00000064943,0,0,0,0
ENSMUSG00000100866,0,0,0,0
ENSMUSG00000101721,0,0,0,0
ENSMUSG00000099376,0,0,0,0
ENSMUSG00000097883,0,0,0,0
ENSMUSG00002076043,0,0,0,0
ENSMUSG00000099698,0,0,0,0
ENSMUSG00000056763,6383,4429,4677,5200
ENSMUSG00000099454,0,0,0,0
ENSMUSG00000051616,0,0,0,0
ENSMUSG00000099627,0,0,0,0
ENSMUSG00000099577,0,0,0,0
ENSMUSG00000099882,0,0,0,0
ENSMUSG00000101760,0,0,0,0
ENSMUSG00000102356,0,0,0,0
ENSMUSG00000099608,0,0,0,0
ENSMUSG00000099864,0,0,0,0
ENSMUSG00002075839,0,0,0,0
ENSMUSG00000100451,0,0,0,0
ENSMUSG00000099941,0,0,0,0
ENSMUSG00002075589,0,0,0,0
ENSMUSG00000100816,0,0,0,0
ENSMUSG00000042671,1445,796,2645,1929
ENSMUSG00000100945,7,7,0,0
ENSMUSG00000102404,0,0,6,0
ENSMUSG00000100334,4,0,8,2
ENSMUSG00000026109,153,108,346,176
ENSMUSG00000026475,554,236,541,356
ENSMUSG00000099568,22,3,0,0
ENSMUSG00000100671,0,0,0,0
ENSMUSG00002075527,0,0,0,0
ENSMUSG00000101242,0,0,0,0
ENSMUSG00000099924,4,2,8,4
ENSMUSG00000099625,0,0,0,0
ENSMUSG00000101799,2,0,0,2
ENSMUSG00000045954,2,2,32,36
ENSMUSG00000099741,0,0,0,0
ENSMUSG00000101702,2,2,0,3
ENSMUSG00000066800,412,207,778,540
ENSMUSG00000100183,34,16,73,46
ENSMUSG00000067851,11117,8212,8415,9047
ENSMUSG00002076532,2,0,0,0
ENSMUSG00000102556,14,4,0,10
ENSMUSG00000038608,64,48,135,102
ENSMUSG00000042501,0,2,0,0
ENSMUSG00000103810,0,0,0,0
ENSMUSG00000083422,0,0,0,0
ENSMUSG00000119312,0,0,0,0
ENSMUSG00000042641,10,7,10,10
ENSMUSG00000081417,0,0,0,0
ENSMUSG00000103448,0,0,0,0
ENSMUSG00000103192,0,0,0,0
ENSMUSG00000104488,0,0,0,0
ENSMUSG00000100212,3,2,0,4
ENSMUSG00000102721,0,0,0,0
ENSMUSG00000100648,0,0,0,0
ENSMUSG00002076499,0,0,0,0
ENSMUSG00000099949,0,0,0,0
ENSMUSG00000099918,0,0,0,0
ENSMUSG00000045968,186,148,42,31
ENSMUSG00000043282,0,0,0,0
ENSMUSG00000102459,0,2,0,2
ENSMUSG00000047053,0,0,0,0
ENSMUSG00000099227,0,0,2,0
ENSMUSG00000026107,176,127,102,149
ENSMUSG00000099413,0,0,0,0
ENSMUSG00000103424,0,0,0,0
ENSMUSG00000054976,1621,648,3193,2425
ENSMUSG00000104029,0,0,0,0
ENSMUSG00000101986,0,0,0,0
ENSMUSG00000087008,3,12,2,4
ENSMUSG00000026473,11308,10100,7639,6701
ENSMUSG00000100014,1,0,0,0
ENSMUSG00000101903,0,0,0,0
ENSMUSG00000100502,0,0,0,0
ENSMUSG00000088669,0,0,0,0
ENSMUSG00000066797,4,0,0,0
ENSMUSG00000048960,74,73,101,107
ENSMUSG00000099933,0,0,0,0
ENSMUSG00000100221,0,0,0,0
ENSMUSG00002076439,0,0,0,0
ENSMUSG00000100031,0,0,0,0
ENSMUSG00000077318,0,0,0,0
ENSMUSG00000101827,0,0,0,0
ENSMUSG00000103494,0,0,0,0
ENSMUSG00000067158,17,29,71,75
ENSMUSG00000079465,32,10,100,116
ENSMUSG00002075966,0,0,0,0
ENSMUSG00000004110,96,57,282,261
ENSMUSG00000097564,16,24,0,2
ENSMUSG00000101880,0,0,2,0
ENSMUSG00000101433,0,0,0,0
ENSMUSG00000096950,131,89,130,95
ENSMUSG00000056708,1089,709,370,312
ENSMUSG00000026471,60,46,44,36
ENSMUSG00000057715,22,11,4,13
ENSMUSG00000026470,3505,2777,2427,2145
ENSMUSG00000103825,0,0,0,0
ENSMUSG00000099845,0,0,0,0
ENSMUSG00000103561,0,0,0,0
ENSMUSG00000101610,0,0,0,0
ENSMUSG00000104181,57,31,44,58
ENSMUSG00000118923,0,0,0,0
ENSMUSG00000098555,0,0,0,0
ENSMUSG00000097628,3,0,0,1
ENSMUSG00000098163,0,0,0,0
ENSMUSG00000097171,0,0,0,0
ENSMUSG00000101314,0,0,0,0
ENSMUSG00000033722,13630,9964,8414,8269
ENSMUSG00000103670,13,7,0,0
ENSMUSG00000026150,5945,4539,5157,4364
ENSMUSG00000101450,214,119,156,141
ENSMUSG00000026149,0,2,0,0
